代號	股票名稱	代號	股票名稱	代號	股票名稱	代號	股票名稱
1524	耿鼎	2534	宏盛	4055	營造櫃	6208	日揚
1525	江申	2535	達欣工	4056	運輸櫃	6209	今國光
1526	日馳	2536	宏普	4057	觀光櫃	6210	慶生
1527	鑽全	2537	春池	4102	永日	6211	福登
1528	恩德	2538	基泰	4103	百略	6212	理銘
1529	樂士	2542	宏巨	4104	東貿	6213	聯茂
1530	亞崴	2543	皇昌	4105	東洋	6214	精誠
1531	高林股	2545	皇翔	4106	雃博	6215	和椿
1532	勤美	2546	根基	4107	邦拓	6216	居易
1533	車王電	2547	日勝	4108	懷特	6217	中探針
1535	中宇	2548	華固	4109	加捷	6218	豪勉
1536	和大	2601	益航	4111	濟生	6219	視達
1537	廣隆	2603	長榮	4113	榮睿	6220	岳豐
1538	正峰工	2605	新興	4114	健喬	6221	晉泰
1539	巨庭	2606	裕民航	4119	旭富	6222	上揚
1540	喬福	2607	榮運	4120	友華	6223	旺矽
1541	錩泰	2608	大榮	4121	優盛	6224	聚鼎
1558	伸興	2609	陽明	4123	晟德	6225	天瀚
1560	中砂	2610	華航	4126	太醫	6226	光鼎
1565	精 華	2611	志信	4127	天良	6227	茂綸
1569	濱川	2612	偉運	4128	中天	6228	全譜
1570	力肯	2613	中櫃	4129	聯合	6229	研通
1580	新麥	2614	遠倉	4131	晶宇	6230	超眾
1582	信錦	2615	萬海	4205	恆義	6231	系微
1583	程泰	2616	山隆	4207	環泰	6233	旺玖
1584	精剛	2617	台航	4303	信立	6234	高僑
1603	華電	2618	長榮航	4304	琨詰	6235	華孚
1604	聲寶	2701	萬企	4305	世坤	6237	驊訊
1605	華新	2702	華園	4306	炎洲	6239	力成
1608	榮電	2704	國賓	4401	東隆興	6240	文魁
1609	大亞	2705	六福	4402	福大	6243	迅杰
1611	中電	2706	第一店	4408	聯明	6244	茂迪
1612	宏泰	2707	晶華	4414	如興	6245	立端
1613	台一	2801	彰銀	4415	勤龍	6247	淇譽電
1614	三洋電	2809	南企	4416	福纖	6248	沛波
1615	大山	2812	中企	4417	金洲	6250	太萊
1616	億泰	2816	友聯	4419	松懋	6255	奈普
1617	榮星	2820	華票	4420	光明	6257	矽格
1618	合機	2823	中壽	4426	利勤	6259	百徽
1701	中化	2832	台產	4502	源恆	6261	久元
1702	南僑	2833	台壽保	4503	金雨	6263	普萊德
1704	榮化	2834	台企銀	4506	崇友	6264	德士通
1707	葡萄王	2836	高雄銀	4510	高峰	6265	方土昶
1708	東鹼	2837	萬泰銀	4513	福裕	6266	泰詠
1709	和益	2838	聯邦銀	4523	永彰	6269	台郡
1710	東聯	2841	台開	4526	東台	6270	倍微
1711	永光	2845	遠東銀	4527	方土霖	6271	同欣電
1712	興農	2847	大眾銀	4528	江興	6274	台燿
1713	國化	2849	安泰銀	4529	力武	6275	元山
1714	和桐化	2850	新產	4530	宏易	6276	名鐘
1715	亞化	2851	中再保	4532	瑞智	6277	宏正
1716	永信	2852	第一保	4533	協易機	6278	台表科
1717	長興	2854	寶來證	4534	三林	6279	胡連
1718	中纖	2855	統一證	4535	至興	6281	全國電
1720	生達	2856	元富證	4609	唐鋒	6282	康舒
1721	三晃	2880	華南金	4702	中美實	6283	淳安
1722	台肥	2881	富邦金	4703	美克能	6284	佳邦
1723	中碳	2882	國泰金	4706	大恭	6285	啟碁
1724	台硝	2883	開發金	4707	磐亞	6286	立錡
1725	元禎	2884	玉山金	4711	永純	6287	元隆
1726	永記	2885	復華金	4712	南璋	6289	華上
1727	中華化	2886	交銀金	4714	永捷	6290	良維
1729	必翔	2887	台新金	4716	大立	6291	沛亨
1730	花仙子	2888	新光金	4720	德淵	6292	迅德
1731	美吾髮	2889	國票金	4721	美琪瑪	6294	智基科
1732	毛寶	2890	建華金	4722	國精化	6298	崴強
1733	五鼎	2891	中信金	4725	信昌化	6402	基泰營
1734	杏輝	2892	第一金	4903	聯光通	6505	台塑化
1735	日勝化	2901	欣欣	4904	遠傳	6508	惠光
1736	喬山	2903	遠百	4905	台聯電	6509	聚和
1737	臺鹽	2904	匯僑	4906	正文	6603	富強鑫
1742	台蠟	2905	三商行	4907	正華	6605	帝寶
1777	生泰	2906	高林	4908	前鼎	6609	瀧澤科
1781	合世	2908	特力	4909	新復興	8008	建興電
1784	訊聯	2910	統領	5007	三星	8016	矽創
1785	光洋科	2911	麗嬰房	5009	榮剛	8021	尖點
1787	福盈科	2912	統一超	5013	強新	8024	佑華
1802	台玻	2913	農林	5014	建錩	8032	光菱
1806	信益	2915	潤泰全	5015	華祺	8033	雷虎
1808	國賓瓷	2916	滿心	5016	松和	8034	榮群
1809	中國釉	2921	和樂	5102	富強	8039	台虹
1810	和成欣	3002	歐格	5201	凱衛	8040	九暘電
1815	富喬	3003	健和興	5202	力新	8042	金山電
1902	台紙	3005	神基	5203	訊連	8043	蜜望實
1903	士紙	3006	晶豪科	5205	漢康	8044	網家
1904	正隆	3008	大立光	5206	經緯	8046	南電
1905	華紙	3009	奇美電	5207	飛雅	8047	星雲
1906	寶隆	3010	華立	5209	新鼎	8049	晶采
1907	永豐餘	3011	今皓	5210	儒碩	8050	廣積
1909	榮成	3013	晟銘電	5211	蒙恬	8053	巨擘
2002	中鋼	3014	聯陽	5212	凌網	8054	安國
2006	東鋼	3015	全漢	5213	捷鴻	8064	東捷
2007	燁興	3016	嘉晶	5301	祥裕電	8066	福葆
2008	高興昌	3017	奇鋐	5302	太欣	8067	志旭
2009	一銅	3019	亞光	5304	大霸電	8068	全達
2010	春源	3021	衛道	5305	敦南	8069	元太
2012	春雨	3022	威達電	5309	系統	8070	長華
2013	中鋼構	3023	信邦	5310	天剛	8071	豐聲
2014	燁隆	3024	憶聲	5312	華昭科技	8072	陞泰
2015	豐興	3025	星通	5314	民生科技	8074	鉅橡
2017	嘉益	3026	禾伸堂	5315	光聯	8076	伍豐
2020	美亞	3027	盛達	5317	凱美	8077	冠華
2022	聚亨	3028	增你強	5318	佳鼎	8078	華寶
2023	燁輝	3029	零壹	5321	九德	8079	誠遠
2024	志聯	3030	德律	5326	漢磊	8080	奧斯特
2025	千興	3031	佰鴻	5328	華容	8081	致新
2027	大成鋼	3032	偉訓	5340	建榮	8082	捷超
2028	威致	3033	威健	5344	立衛	8083	瑞穎
2029	盛餘	3034	聯詠	5345	天揚	8084	巨虹
2030	彰源	3035	智原	5346	力晶	8085	福華
2031	新光鋼	3036	文曄	5347	世界	8088	品安
2032	新鋼	3037	欣興	5348	系通	8091	翔名
2033	佳大	3038	全台	5349	元豐	8092	建暐
2034	允強	3040	遠見	5351	鈺創	8093	保銳
2035	唐榮	3041	揚智	5353	台林	8096	擎亞
2059	川湖	3042	晶技	5355	佳總	8097	鴻松
2062	橋椿	3043	科風	5356	協益	8099	大世科
2101	南港	3044	健鼎	5364	梅捷	8101	華冠
2102	泰豐	3045	台灣大	5371	中光電	8103	瀚荃
2103	台橡	3046	建碁	5381	合正	8105	凌巨
2104	中橡	3047	訊舟	5383	金利	8107	大億科
2105	正新	3048	益登	5384	捷元	8109	博大
2106	建大	3049	和鑫	5387	茂德	8110	華東
2107	厚生	3050	鈺德	5388	中磊	8111	立碁
2108	南帝	3051	力特	5392	怡安	8112	至上
2109	華豐	3052	夆典	5398	力瑋	8114	振樺電
2114	鑫永銓	3054	萬國	5403	中菲	8121	越峰
2201	裕隆	3055	蔚華科	5410	國眾	8131	福懋科
2204	中華	3057	喬鼎	5425	台半	8163	達方
2206	三陽	3058	立德	5426	振發	8182	加高
2207	和泰	3059	華晶科	5432	達威	8183	精星
2221	大甲	3060	銘異	5434	崇越	8201	無敵
2227	裕日車	3061	璨圓	5438	東友	8210	勤誠
2301	光寶	3062	建漢	5439	高技	8234	新漢
2302	麗正	3063	飛信	5443	均豪	8240	華宏
2303	聯電	3064	泰偉	5450	寶聯	8249	菱光
2305	全友	3066	李洲	5452	佶優	8255	朋程
2308	台達電	3067	全域	5455	訊利電	8261	富鼎
2311	日月光	3068	美磊	5457	宣得	8266	中日新
2312	金寶	3069	寶晟	5460	同協	8277	商丞
2313	華通	3071	協禧	5464	霖宏	8287	英格爾
2314	台揚	3073	普格	5465	富驊	8289	泰藝
2315	神達	3078	僑威	5466	泰林	8299	群聯
2316	楠梓	3080	威力盟	5468	台晶	8349	友信
2317	鴻海	3083	網龍	5469	瀚宇博	8354	冠郝
2321	東訊	3085	久大	5471	松翰	8374	羅昇
2323	中環	3086	華義	5474	聰泰	8383	千附
2324	仁寶	3087	翔準	5475	德宏	8390	金益鼎
2325	矽品	3088	艾訊	5478	智冠	8705	東隆
2327	國巨	3089	展成	5480	統盟	8905	裕國
2328	廣宇	3090	日電貿	5481	華韡	8906	花王
2329	華泰	3093	港建	5483	中美晶	8908	欣雄
2330	臺積電	3094	聯傑	5484	慧友電	8913	華夏租
2331	精英	3095	及成	5487	通泰	8916	光隆
2332	友訊	3099	頂倫	5488	松普	8917	欣泰
2337	旺宏	3114	好德	5489	彩富	8923	時報
2338	光罩	3115	寶島極	5490	同亨	8924	大田
2340	光磊	3118	進階	5491	連展	8925	偉盟
2341	英群	3126	信億	5492	亞智	8926	台汽電
2342	茂矽	3128	昇銳	5493	三聯	8927	北基
2344	華邦電	3130	一零四	5498	凱崴	8928	鉅明
2345	智邦	3152	璟德	5505	和旺	8929	富堡
2347	聯強	3162	精確	5506	長鴻	8930	青鋼
2348	力捷	3164	景岳	5508	永信建	8931	大汽電
2349	錸德	3171	天馳	5511	德昌	8932	宏大
2350	環隆	3188	安茂	5512	力麒	8933	愛地雅
2351	順德	3189	景碩	5514	三豐	8935	邦泰
2352	明碁	3191	和進	5515	建國	8936	國統
2353	宏科	3202	樺晟	5516	雙喜	8937	合騏
2354	華升	3205	天騵	5519	隆大	8938	明安
2355	敬鵬	3206	志豐	5520	力泰	8940	新天地
2356	英業達	3207	耀勝	5521	工信	8941	關中
2357	華碩	3209	全科	5522	大都市	8942	森鉅
2358	美格	3211	順達科	5523	宏都	8996	高力
2359	所羅門	3213	茂訊	5525	順天	9102	東亞科
2360	致茂	3217	優群	5529	宏東洋	9103	美德醫
2362	藍天	3218	大學光	5530	大漢	9105	泰金寶
2363	矽統	3219	倚強	5531	鄉林	9902	台火
2364	倫飛	3221	嘉碩	5533	皇鼎	9904	寶成
2365	昆盈	3224	三顧	5534	長虹	9905	大華金
2367	耀華	3226	至寶電	5601	台聯貨櫃	9907	統一實
2368	金像電	3227	原相	5603	陸海	9908	大台北
2369	菱生	3228	金麗科	5604	中連運	9910	豐泰
2371	大同	3229	晟鈦	5607	遠翔	9911	櫻花
2373	震旦行	3230	錦明	5608	四維	9912	偉聯
2374	佳能	3231	緯創	5609	中菲行	9914	美利達
2375	智寶	3232	昱捷	5701	劍湖山	9917	中保
2376	技嘉	3236	千如	5703	亞都	9918	欣天然
2377	微星	3252	宏連科	5704	老爺知	9919	康那香
2379	瑞昱	3259	鑫創	5706	鳳凰	9921	巨大
2380	虹光	3260	威剛	5820	日盛金	9924	福興
　	　	　	　	　	　	9925	新保
　	　	　	　	　	　	9926	新海
　	　	　	　	　	　	9927	泰銘
　	　	　	　	　	　	9928	中視
　	　	　	　	　	　	9929	秋雨
　	　	　	　	　	　	9930	中聯資
　	　	　	　	　	　	9931	欣高
　	　	　	　	　	　	9933	中鼎
　	　	　	　	　	　	9934	成霖
　	　	　	　	　	　	9935	慶豐富
　	　	　	　	　	　	9937	全國
　	　	　	　	　	　	9938	百和
　	　	　	　	　	　	9939	宏全
　	　	　	　	　	　	9940	信義
　	　	　	　	　	　	9941	裕融
　	　	　	　	　	　	9942	茂順
　	　	　	　	　	　	9943	好樂迪
　	　	　	　	　	　	9944	新麗
　	　	　	　	　	　	9945	潤泰新
　	　	　	　	　	　	9949	琉園
　	　	　	　	　	　	9950	萬國
　	　	　	　	　	　	9951	皇田
　	　	　	　	　	　	9955	佳龍
　	　	　	　	　	　	9958	世紀鋼
　	　	　	　	　	　	9960	邁達康
　	　	　	　	　	　	9962	有益
